HI81,pc_counter,gps_wn,gps_tow,ins_status,utc,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temperature,pressure,od_vel,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,solq_pos,solq_heading,nv,nv_heading,diff_age,pdop,hdop,undulation,ins_lat,ins_lon,ins_msl,ins_vel_e,ins_vel_n,ins_vel_u,acc_e,acc_n,acc_u,heave,surge,sway,heave_period,gnss_ant_status
HI81,109245,6579,23296,1,4294880878,-0.001494734665,-0.0009964897765,0.9974862663,0,0.1145915604,0,-12.878174,-4.455482,-14.281956,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109246,6579,23296,1,4294880878,0.00298946933,-0.0004982448883,0.9999774907,0,0,0,-12.756106,-4.821686,-14.495575,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109247,6579,23296,1,4294880878,-0.0004982448883,-0.001494734665,0.9994792459,0,0.05729578018,0,-12.542487,-4.638584,-14.556609,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109248,6579,23296,1,4294880878,-0.0004982448883,-0.002491224441,1.000475736,0.05729578018,0,0,-12.359385,-4.608067,-14.739711,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109249,6579,23296,1,4294880878,-0.0004982448883,-0.002491224441,0.9984827561,0.05729578018,0.05729578018,0,-12.695072,-4.516516,-14.098854,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109250,6579,23296,1,4294880878,0.0004982448883,-0.002491224441,1.000973981,0,0,0,-12.023698,-4.424965,-14.220922,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109251,6579,23296,1,4294880878,-0.0004982448883,-0.00298946933,0.9979845112,0.05729578018,0.05729578018,-0.05729578018,-12.267834,-4.57755,-14.03782,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109252,6579,23296,1,4294880878,0.0004982448883,-0.0009964897765,0.9999774907,0,0.05729578018,0,-12.267834,-4.424965,-14.495575,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109253,6579,23296,1,4294880878,-0.0004982448883,-0.001992979553,0.998981001,0,0.05729578018,0,-12.634038,-4.211346,-14.64816,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109254,6579,23296,1,4294880878,0,-0.002491224441,0.9994792459,0,0.05729578018,0,-12.847657,-4.424965,-14.739711,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
