$GNIMU,514520,0.016,0.645,0.736,0.11,-0.08,-0.01,0.00
$GNIMU,514530,0.015,0.643,0.736,0.14,-0.08,0.02,0.00
$GNIMU,514540,0.015,0.645,0.739,-0.03,-0.09,-0.02,0.00
$GNIMU,514550,0.015,0.645,0.739,0.02,-0.09,-0.01,0.00
$GNIMU,514560,0.014,0.644,0.740,0.04,-0.11,-0.01,0.00
$GNIMU,514570,0.016,0.644,0.738,-0.06,-0.07,-0.01,0.00
$GNIMU,514580,0.015,0.644,0.739,-0.02,-0.11,0.05,0.00
$GNIMU,514590,0.015,0.646,0.739,0.05,-0.07,-0.02,0.00
$GNIMU,514600,0.014,0.646,0.739,0.06,-0.14,-0.02,0.00
$GNIMU,514610,0.016,0.644,0.737,0.04,-0.11,-0.02,0.00
$GNPVT,514620,1,34,39.9056573,116.4573569,126.005,0.015,0.023,-0.036,2.96,2.74,10.52,0.05,0.05,0.06
$GNIMU,514620,0.015,0.644,0.738,0.06,-0.08,-0.05,0.00
$GNIMU,514630,0.014,0.645,0.740,0.00,-0.07,-0.02,0.00
$GNIMU,514640,0.015,0.646,0.740,0.02,-0.04,0.02,0.00
$GNIMU,514650,0.016,0.643,0.739,-0.02,-0.02,-0.04,0.00
$GNIMU,514660,0.016,0.645,0.736,0.08,-0.04,-0.02,0.00
$GNIMU,514670,0.016,0.643,0.738,0.04,-0.08,0.02,0.00
$GNIMU,514680,0.015,0.645,0.737,0.08,-0.11,0.04,0.00
$GNIMU,514690,0.015,0.645,0.740,0.05,-0.08,-0.02,0.00
$GNIMU,514700,0.016,0.645,0.738,0.06,-0.10,-0.04,0.00
$GNIMU,514710,0.016,0.645,0.739,0.05,-0.11,-0.03,0.00
$GNPVT,514720,1,34,39.9056571,116.4573569,125.995,0.014,0.019,-0.036,2.97,2.75,10.54,0.05,0.05,0.06
$GNIMU,514720,0.015,0.646,0.738,0.05,-0.11,-0.08,0.00
$GNIMU,514730,0.015,0.643,0.740,0.07,-0.07,-0.07,0.00
$GNIMU,514740,0.014,0.646,0.739,0.03,-0.11,-0.08,0.00
$GNIMU,514750,0.016,0.645,0.739,0.02,-0.04,-0.04,0.00
$GNIMU,514760,0.016,0.645,0.740,-0.03,-0.07,-0.03,0.00
$GNIMU,514770,0.015,0.644,0.739,0.13,-0.10,-0.08,0.00
$GNIMU,514780,0.015,0.643,0.737,0.13,-0.05,-0.02,0.00
$GNIMU,514790,0.016,0.643,0.737,0.01,-0.09,0.03,0.00
$GNIMU,514800,0.015,0.646,0.738,0.05,-0.06,-0.02,0.00
$GNIMU,514810,0.014,0.644,0.738,0.09,-0.11,-0.06,0.00
$GNPVT,514820,1,34,39.9056570,116.4573570,125.987,0.014,0.017,-0.034,2.96,2.74,10.52,0.05,0.05,0.06
$GNIMU,514820,0.016,0.643,0.740,0.16,-0.05,-0.05,0.00
$GNIMU,514830,0.015,0.646,0.739,0.15,-0.06,-0.03,0.00
$GNIMU,514840,0.014,0.644,0.740,0.00,-0.08,0.01,0.00
$GNIMU,514850,0.014,0.646,0.740,0.01,-0.10,-0.02,0.00
$GNIMU,514860,0.014,0.644,0.739,0.07,-0.13,-0.01,0.00
$GNIMU,514870,0.016,0.645,0.737,0.14,-0.05,-0.05,0.00
$GNIMU,514880,0.015,0.643,0.739,0.09,-0.06,0.07,0.00
$GNIMU,514890,0.015,0.646,0.738,0.12,-0.03,0.01,0.00
$GNIMU,514900,0.015,0.645,0.740,0.03,-0.07,-0.05,0.00
$GNIMU,514910,0.016,0.643,0.737,-0.05,-0.08,-0.02,0.00
$GNPVT,514920,1,34,39.9056569,116.4573570,125.973,0.015,0.017,-0.036,2.96,2.74,10.52,0.05,0.05,0.06
$GNIMU,514920,0.016,0.644,0.739,0.04,-0.04,-0.07,0.00
$GNIMU,514930,0.015,0.644,0.736,0.14,-0.08,0.01,0.00
$GNIMU,514940,0.016,0.646,0.740,0.14,-0.09,-0.11,0.00
$GNIMU,514950,0.015,0.645,0.739,0.03,-0.08,0.02,0.00
$GNIMU,514960,0.015,0.643,0.737,0.07,-0.11,-0.02,0.00
$GNIMU,514970,0.015,0.644,0.737,0.12,-0.08,0.00,0.00
$GNIMU,514980,0.015,0.644,0.740,0.08,-0.01,-0.08,0.00
$GNIMU,514990,0.016,0.646,0.740,0.09,-0.02,0.02,0.00
$GNIMU,515000,0.014,0.646,0.739,-0.01,-0.12,-0.02,0.00
$GNIMU,515010,0.014,0.643,0.738,0.08,-0.11,-0.05,0.00
