Time,ID,AccRawX, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,MagRawX, MagRawY, MagRawZ,Pitch, Roll, Yaw,Test8F[0], Test8F[1], Test8F[2], Test8F[3], Test8F[4], Test8F[5], Test8F[6], Test8F[7]
16-11-34.954,7,-948,-225,-315,-33,-318,-35,454,-176,-382,-68,37.6,20.5,0,0,-57.17994,0.01921287,1,0,39.97934,0.01504002
16-11-34.974,7,-951,-221,-297,-16,-320,-21,455,-179,-383,-68.45,38.61,19.4,0,0,-57.23756,0.01641661,1,0,40.01798,0.0150428
16-11-34.994,7,-957,-221,-283,4,-365,-5,456,-178,-391,-68.99,39.82,18,0,0,-56.92311,0.01612952,1,0,40.06569,0.01504557
16-11-35.014,7,-955,-221,-284,-52,-270,-24,464,-175,-400,-69.44,40.81,16.9,0,0,-56.83778,0.01100168,1,0,40.74675,0.01504835
16-11-35.033,7,-959,-226,-264,-56,-170,-45,457,-176,-400,-69.71,41.59,15.9,0,0,-56.90624,0.005643984,1,0,40.09099,0.01505113
16-11-35.053,7,-980,-235,-247,12,-380,2,455,-179,-401,-70.1,42.69,14.7,0,0,-56.80479,0.0252523,1,0,39.97585,0.01505391
16-11-35.075,7,-977,-230,-250,-6,-331,15,455,-175,-410,-70.65,44.03,13.3,0,0,-56.75752,0.02286792,1,0,40.00443,0.01505668
16-11-35.095,7,-966,-222,-251,-41,-357,22,455,-174,-414,-71.15,45.23,12,0,0,-56.98207,0.01164735,1,0,39.94229,0.01505946
16-11-35.116,7,-962,-221,-225,-33,-361,9,454,-177,-416,-71.71,46.73,10.3,0,0,-57.06206,0.01615365,1,0,39.97762,0.01506224
16-11-35.134,7,-962,-222,-201,-50,-323,9,455,-180,-421,-72.16,48.03,8.8,0,0,-56.66727,0.01917342,1,0,40.1931,0.01506502
16-11-35.153,7,-956,-222,-180,-2,-369,-41,454,-175,-426,-72.6,49.65,7,0,0,-57.0326,0.01637436,1,0,40.10661,0.01506779
16-11-35.175,7,-954,-225,-178,19,-465,-87,454,-175,-430,-73.01,52.04,4.6,0,0,-57.10788,0.01694592,1,0,40.17154,0.01507057
16-11-35.194,7,-968,-229,-184,-14,-440,-81,455,-173,-440,-73.43,54.88,1.6,0,0,-56.89602,0.007330297,1,0,40.38964,0.01507335
16-11-35.214,7,-988,-236,-176,-56,-281,-77,451,-169,-444,-73.72,57.27,-0.9,0,0,-57.18115,0.01571952,1,0,40.08874,0.01507612
16-11-35.232,7,-1006,-250,-154,-42,-318,-44,451,-164,-447,-73.87,58.74,-2.6,0,0,-57.61547,0.02793989,1,0,40.37349,0.0150789
16-11-35.254,7,-999,-255,-130,19,-458,-56,450,-167,-451,-74.26,61.77,-5.7,0,0,-57.46488,0.03092683,1,0,40.14687,0.01508168
16-11-35.275,7,-986,-249,-126,-30,-393,-57,451,-173,-461,-74.5,64.41,-8.5,0,0,-56.42295,0.0217485,1,0,40.07481,0.01508446
16-11-35.294,7,-984,-246,-118,-44,-287,-80,443,-168,-461,-74.67,66.9,-11.1,0,0,-56.99376,0.01364913,1,0,40.01059,0.01508723
16-11-35.314,7,-996,-258,-110,-57,-320,-67,447,-163,-471,-74.73,68.85,-13.3,0,0,-56.83871,0.01006782,1,0,39.97921,0.01509001
16-11-35.334,7,-1012,-268,-96,-59,-276,-29,445,-165,-468,-74.85,70.98,-15.6,0,0,-57.26241,0.02347383,1,0,39.83687,0.01509279
16-11-35.355,7,-1006,-269,-77,-24,-451,-24,443,-167,-470,-75.06,73.72,-18.6,0,0,-57.34226,0.02175673,1,0,40.0205,0.01509556
16-11-35.375,7,-988,-258,-56,-33,-246,-69,444,-163,-475,-75.14,76.26,-21.2,0,0,-57.69567,0.02578652,1,0,40.36304,0.01509834
16-11-35.395,7,-987,-257,-56,-49,-194,-75,447,-163,-478,-75.08,77.83,-23,0,0,-57.61079,0.02524182,1,0,40.44325,0.01510112
16-11-35.414,7,-1005,-265,-47,-41,-138,-29,442,-160,-475,-75.05,79.21,-24.5,0,0,-58.22496,0.008534107,1,0,40.00468,0.0151039
16-11-35.434,7,-1009,-271,-40,-31,-152,-2,441,-159,-480,-75.07,80.08,-25.5,0,0,-57.99708,0.02190487,1,0,40.00895,0.01510667
16-11-35.454,7,-992,-265,-36,-22,-186,-12,440,-160,-483,-75.11,81.15,-26.7,0,0,-57.71981,0.01173092,1,0,40.03972,0.01510945
16-11-35.474,7,-983,-265,-52,-77,-223,-57,438,-160,-490,-75.11,82.88,-28.6,0,0,-57.28912,0.01895586,1,0,39.92694,0.01511223
16-11-35.493,7,-989,-273,-36,-59,-321,-83,439,-158,-491,-75.01,84.62,-30.5,0,0,-57.63808,0.01383941,1,0,40.12781,0.015115
16-11-35.514,7,-1003,-275,-3,-32,-230,-68,434,-161,-497,-74.9,86.73,-32.8,0,0,-56.82657,0.02451717,1,0,39.90098,0.01511778
16-11-35.533,7,-1015,-274,3,-35,-194,-25,434,-154,-500,-74.82,88.28,-34.5,0,0,-57.47675,0.02731605,1,0,40.04219,0.01512056
16-11-35.553,7,-1015,-273,7,-38,-157,2,434,-157,-498,-74.8,89.5,-35.8,0,0,-57.51426,0.01084749,1,0,39.91848,0.01512334
